id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1cYaxXUP6hh31Ss49UjGz7,Poznałem go po czarnym kapeluszu - Live; 2003 Remaster,13,188747,0,['Dzem'],['5ADo6yIOeD8LJglejYcuen'],1985,0.523,0.976,0,-5.677,1,0.0682,0.0665,1.14e-06,0.702,0.629,123.735,4
7eqQEcf1CdI2hYn7jZhT5S,Już nie z Tobą,13,183760,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.379,0.699,9,-8.152,0,0.0416,5.33e-06,1.77e-05,0.081,0.176,129.873,4
1OPLte8bEN3pYPRNm0EP7n,Cały czas uczą nas,13,236560,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.152,0.903,11,-8.277,1,0.082,0.000229,0.0,0.182,0.386,87.688,4
6yq46TBE4pcD9STUki1T6H,Simple Story,14,203253,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.595,0.833,2,-8.437,0,0.0402,0.495,0.438,0.159,0.873,130.089,4
5UHoe604tX2NrmubD3VpEd,Przerwa na papierosa - 2011 Remaster,13,202827,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.73,0.667,9,-7.926,0,0.0291,0.221,0.844,0.152,0.806,134.2,4
52TeIguuLVk75MmEOStfiF,Rubycon Part One,28,230600,0,['Tangerine Dream'],['1BGN1IdyiSR0ZYrkoKNchl'],1985-01-01,0.28,0.281,5,-22.994,1,0.0392,0.81,0.911,0.0955,0.214,130.963,3
2neM811k5Rb0FsG6tb3Rui,Abym mógł przed siebie iść - Live; 2003 Remaster,13,327627,0,['Dzem'],['5ADo6yIOeD8LJglejYcuen'],1985,0.24,0.677,2,-7.163,1,0.0581,0.0484,4.43e-05,0.481,0.488,187.034,3
6wgKlCACLPlpifEYqNNaNF,Kiepska gra - Live; 2003 Remaster,13,285427,0,['Dzem'],['5ADo6yIOeD8LJglejYcuen'],1985,0.294,0.934,2,-6.508,1,0.0989,0.03,1.04e-05,0.705,0.529,142.132,4
2Lwr9JpzAsTWKlDvtS5iHk,Blues Alabama - Live; 2003 Remaster,12,260613,0,['Dzem'],['5ADo6yIOeD8LJglejYcuen'],1985,0.329,0.978,4,-5.703,1,0.089,0.0101,4.83e-05,0.341,0.56,141.36,4
6S1v3CLEDpFjypmvT227WW,Stranger,30,461307,0,['Clan of Xymox'],['1wHmR7I0UlF58WFQexCPha'],1985-07-01,0.573,0.596,5,-11.776,0,0.034,0.00167,0.747,0.232,0.147,129.09,4
1v7poBk75u8IJ6OiO3sVOa,Wszystko będzie ok,11,272027,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.27,0.79,7,-7.794,1,0.0422,0.000841,3.7e-06,0.319,0.482,156.943,3
1rPEAcL7wNXL7dRVFMEDVl,Mentalny Kot - 2011 Remaster,11,159627,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.521,0.813,11,-6.401,0,0.0987,0.0443,0.000602,0.211,0.719,88.174,4
7rlEeRZqRKyu30W6pNm8fv,Norweska impresja bluesowa - Live; 2003 Remaster,11,201933,0,['Dzem'],['5ADo6yIOeD8LJglejYcuen'],1985,0.334,0.319,0,-19.485,1,0.245,0.811,0.217,0.943,0.61,72.426,4
5UZkec20C35h1jVxNqnbM4,Pesenka o pekhote,17,137587,0,['Bulat Okudzhava'],['0ZahzpqsK9YXqiThUYRcx5'],1985-01-01,0.489,0.261,10,-11.578,0,0.072,0.892,0.0,0.102,0.488,109.844,4
5slABRAaR3qZwAp3TTomqT,Soldier's Things,22,380813,0,['Paul Young'],['6rqU9HQ57NYGBnBzbrY3a4'],1985-12-17,0.363,0.365,3,-13.267,0,0.0341,0.057,0.000317,0.0423,0.337,149.572,3
7GrbQ7zUM77OA6MhJM3THi,Kowboje O.K. - 2011 Remaster,10,250920,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.555,0.854,7,-7.693,1,0.0442,0.146,0.906,0.0814,0.889,121.493,4
6abGhmG3EL3ZIpplUmo3qR,Here We Are,31,289907,0,['Gloria Estefan'],['5IFCkqu9J6xdWeYMk5I889'],1985,0.707,0.53,9,-11.992,1,0.0322,0.655,1.85e-05,0.101,0.618,142.146,4
3VQo3ZFIFBmUBgwDDlQjqI,Dobranoc Albert - 2011 Remaster,10,238893,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.599,0.707,11,-8.418,0,0.0482,0.0104,0.514,0.0635,0.886,124.58,4
0SxRMqNOxc39eDxOpiz03u,Nowy przewodnik - 2011 Remaster,10,161107,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.465,0.87,7,-5.656,1,0.137,0.13,0.0,0.107,0.741,136.163,4
4TELgb9znf0mw4SzanrT4i,Wybieraj sam,10,285213,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.399,0.711,7,-8.766,1,0.0435,0.000196,5.06e-05,0.086,0.341,138.949,4
3RlGLTcM9OwrAA0ErwJ2rA,The Moon Is Blue,29,277093,0,['Colourbox'],['0uAnwMXg0tsGQsOdVwudkb'],1985-08-12,0.565,0.607,7,-10.514,1,0.0282,0.169,2.21e-05,0.217,0.705,109.468,3
4xV0uv1aIMcIbqdPcO6A1K,Stratosfear,23,518600,0,['Tangerine Dream'],['1BGN1IdyiSR0ZYrkoKNchl'],1985-01-01,0.462,0.346,11,-16.177,0,0.0375,0.881,0.885,0.111,0.31,177.016,4
1uWIQHnrNqcs7s8FORbfGA,Homecoming '63,29,180960,0,['Keith Whitley'],['0bc7dhY6YXL35m1G0jVwuW'],1985-10-01,0.721,0.285,5,-14.756,1,0.0359,0.539,0.0,0.0998,0.471,122.256,4
2sKp5QN4PIFzBLwdSRR4cX,Proscanie s Pol'shey,12,177126,0,['Bulat Okudzhava'],['0ZahzpqsK9YXqiThUYRcx5'],1985-01-01,0.538,0.269,7,-11.463,1,0.0736,0.865,0.0,0.355,0.403,102.207,4
6MWJuLEjlIjhXymVZWBl7Y,Słowa pełne słów,9,261560,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.385,0.708,4,-8.2,0,0.031,0.00045,0.0,0.208,0.16,109.402,4
23vucovaPIAoP7Fn7TzyYT,Le Parc,28,201271,0,['Tangerine Dream'],['1BGN1IdyiSR0ZYrkoKNchl'],1985-08-01,0.54,0.738,7,-10.571,0,0.0314,0.646,0.895,0.691,0.366,148.94,4
3btjDlN0YnJ5dignooUYIA,Czy mnie nie ma,9,264827,0,['Turbo'],['1hT8ADv3IA415PjBUwfLLv'],1985-09-01,0.411,0.608,10,-9.887,0,0.0374,1.14e-05,6.27e-05,0.113,0.28,103.537,4
6nqA7VwvdOIwdNM6dGjPvO,Lipstick on the Glass,9,184427,0,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],1985,0.623,0.753,5,-8.01,0,0.0569,0.412,4.34e-05,0.146,0.845,96.853,4
5yfNK1ZKXsWhtflOZd3rBX,Stumble and Fall,25,305000,0,['Clan of Xymox'],['1wHmR7I0UlF58WFQexCPha'],1985-07-01,0.513,0.37,8,-17.108,1,0.032,0.0131,0.0124,0.0991,0.509,131.072,4
5Fub1EL8yvfHK9iYZ49d67,Puchatek i pszczoły,26,536200,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.635,0.135,7,-21.631,1,0.814,0.677,0.0,0.373,0.485,125.001,3
2ZjHNO6woCb52lnBwqUtxd,Wizyta u Królika,24,199440,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.707,0.18,8,-23.485,1,0.943,0.654,0.0,0.245,0.39,102.414,3
1G0KyoGUW0cZKx52pjKahW,Tak długo czekam,24,294587,0,['Obywatel G.C'],['0Y0MpkBrGD02Cx3Mmhfa9I'],1986-01-01,0.517,0.562,1,-12.613,1,0.0253,0.405,0.0663,0.152,0.303,92.611,4
6qqIZrFevlhn13LcLUnJ79,Fałszywy trop,24,207440,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.613,0.131,7,-23.902,1,0.867,0.622,0.0,0.703,0.652,104.138,4
6lUrKTpFM8Gm2CKI2a3GfT,Urodziny Kłapouchego,23,650627,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.651,0.157,5,-22.904,1,0.931,0.594,0.0,0.215,0.423,84.504,4
0vYueniTvb1x28ipSXdzp4,Bal moich lalek,24,273453,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.706,0.516,2,-10.908,1,0.0484,0.132,8.49e-06,0.12,0.897,133.085,4
1LXgIl9strxsb5aTwGqZy7,Mała smutna królewna,23,214120,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.743,0.557,5,-10.046,1,0.0281,0.479,0.000219,0.418,0.908,125.539,4
6AFvOsoCXa1dsqiRARUn47,Psikus Mamy-Kangurzycy,22,474653,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.715,0.196,7,-20.965,0,0.905,0.604,0.0,0.158,0.509,113.951,3
1EDxL2JKMYxgVJOx58VofK,Pułapka na słonie,21,713000,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.611,0.165,5,-21.467,0,0.915,0.728,0.0,0.665,0.558,91.555,4
57DCLl9fhYHfjcFJrksEON,Poleć ze mną,21,189227,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.674,0.657,2,-10.546,1,0.0427,0.504,2.02e-05,0.677,0.942,124.099,4
6EIpDwhhQ8QZ3AJc9QniKB,Puchatek odkrywa biegun północny,20,428653,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.581,0.25,7,-16.04,1,0.75,0.733,0.0,0.433,0.608,97.671,5
6tjp3cg9nn34xArJacR5h3,Chenko (Tenka-Io),23,270106,0,['Red Box'],['4TvQ6wnXv3aDNv29JH6App'],1986,0.579,0.897,11,-9.938,1,0.0347,0.411,0.0038,0.0827,0.402,132.728,4
4MEMGYRMN3ib8bLSTjlceP,Kup różowe okulary,21,215027,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.671,0.6,2,-12.323,1,0.0523,0.432,0.0969,0.186,0.883,175.124,4
0knwFLRanQBMYC4BRneZYh,Dzieci Wirgiliusza,20,228320,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.718,0.447,0,-11.575,1,0.0335,0.328,0.0,0.0952,0.696,131.068,4
248gfTBt0mgNt5DfYUZQdp,Mój pechowy dzień,20,241013,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.661,0.892,10,-9.828,1,0.0327,0.446,0.192,0.359,0.733,127.361,4
1cHJAj4ujEDem7BvhsVDmD,Ważne pytanie,20,276720,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.624,0.382,2,-13.995,1,0.0359,0.557,0.128,0.485,0.397,80.722,4
