id,followers,genres,name,popularity
2JzTVgQ5vs7k1gGXbC5DWG,2485.0,['modern jazz piano'],John Hicks,25
0lsl5eO8NiHuyMQN68KLml,4016.0,[],Divo Bayer,29
7hSKFrTyIXR4Abd14BQVTC,942.0,[],Jos Garcia,27
5rmy4yOHBOptMctO6t5Drl,127592.0,['opm'],Kim Chiu,34
4GdJiqm7aTjktMUuCYHKkK,1938.0,[],Willy Cruz,30
2M8ZZEQdxPXHTee5xxkC3M,323.0,['bhojpuri pop'],Khushboo Jain,34
7ypt5Qvb2h6rIahhfls05p,186.0,[],Jekkpot,54
49IVqkiOKOwOC4oflihXvO,1076.0,[],Alex Spite,26
5PfJskFjgWk4q6YIHoUljC,48.0,[],Symphonieorchester Graunke,23
1YE0dGV7nezWn3VHWU6Zvo,1961.0,['finnish hip hop'],Christian,46
6AZfDB8isLU2sHkSm3sRhX,71299.0,"['deep german hip hop', 'german hip hop', 'german underground rap', 'hamburg hip hop']",Milonair,55
2Eo4VORMdwb15W8WZh3vl6,1211.0,['orchestra'],"Slovak State Philharmonic Orchestra, Kosice",40
39AZSw4A8hCFWunEg2k89Z,29159.0,['uk contemporary r&b'],Will Heard,61
6qOybA8286tGrec373VmuU,1453.0,[],The Groovers,28
1zxmHkQCUfZYDjwV6MYjZN,8754.0,['british soul'],Mick Hucknall,40
6VX2R9L0O0d6qPvqGuIH7b,104183.0,"['dance pop', 'electropop', 'eurodance', 'europop', 'swedish electropop', 'swedish pop']",September,57
68EVUfmozd4eLN1OQeuHcz,12.0,[],Erich Bender,22
0x7WO4G3x9UgStRE58ySTD,188.0,[],Kinderchor des NDR,17
2Kxn0CESawh7HMu1cPFzd3,2549.0,['barnmusik'],LasseMaja,40
2V5xArcB3BGAHmwsK46tyU,71455.0,['new french touch'],Vladimir Cauchemar,60
4vLk5stUDHKuBSxa7NjoQ0,144.0,[],Justyna Bojczuk,26
6IuS73qKuYfrYqA5g5iq0h,9857.0,"['swedish dancehall', 'swedish hip hop', 'swedish trap pop']",Imenella,42
2L3kwZFd16zjHz9a5kEPAm,257679.0,"['melancholia', 'norwegian singer-songwriter']",Ane Brun,64
4zvO09rVUIVTeALhs6xLoB,360032.0,"['polish hip hop', 'polish trap']",Otsochodzi,64
6HYjkczJfUdGcwIGPOq5P2,8564.0,"['swedish idol pop', 'swedish pop']",Myra Granberg,61
4DC3zLbfVrTZo2WmvjMMls,26269.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Aden,57
2TyQ1OI79kcdS0CLsNb3Ax,98204.0,['polish hip hop'],Adi Nowak,57
0XDfNJsQy7B3q0GfsMHSkp,47074.0,"['swedish hip hop', 'swedish pop']",Tjuvjakt,57
1tR8hI9nP55dVOK0DBvWbU,18257.0,"['swedish hip hop', 'swedish trap pop']",Nineb Youk,56
4CGl6oQMSEE0u6luhFUixE,45.0,[],Alexander Falck,33
5GwdnlZaSwKpHmjcAijATP,242254.0,"['polish hip hop', 'polish pop', 'polish trap']",Smolasty,60
3rZZx8SIdrNh4o7K9KyMoK,9.0,[],Rodney Williams,3
4XbX7Qj1ALP5osXXAbhcDR,128.0,[],Falco van den Acker,57
496pM4hEOqlmH2QwgZeaCv,27547.0,"['polish hip hop', 'polish trap']",Szymi Szyms,51
3ahVFszO9ucf8JQLCNQeYA,45044.0,"['indonesian pop', 'indonesian rock']",Anggun,49
4yo02lM1p4VBpUevDpdyX7,4871.0,"['mainland chinese pop', 'mandopop']",李代沫,34
4Ws4Jicjsn8gsG40NALncZ,9372.0,"['classic malaysian pop', 'rock kapak']",Mamat,27
1oxn6cQ37twQ7yGnlE3ETd,72480.0,['polish hip hop'],Oki,64
637TT6RS97ivboDHkdp00Y,12.0,[],Hugh Maclean,6
1NqwVRYpBZBtb7k6OQGRAg,1575.0,['nederpop'],Rosy & Andres,27
